Current Angle,Target Angle,Error,PID New Value
0,60,60,228
0,60,60,48
0,60,60,48
0,60,60,48
0,60,60,48
0,60,60,48
0,60,60,48
0,60,60,48
0,60,60,48
0,60,60,48
0,60,60,48
0,60,60,48
0,60,60,48
0,60,60,48
0,60,60,48
0,60,60,48
0,60,60,48
0,60,60,48
0,60,60,48
0,60,60,48
0,60,60,48
0,60,60,48
0,60,60,48
0,60,60,48
0,60,60,48
0,60,60,48
0,60,60,48
0,60,60,48
0,60,60,48
0,60,60,48
0,60,60,48
0,60,60,48
0,60,60,48
0,60,60,48
0,60,60,48
0,60,60,48
0,60,60,48
0,60,60,48
0,60,60,48
0,60,60,48
0,60,60,48
0,60,60,49
0,60,60,49
0,60,60,49
0,60,60,49
0,60,60,49
0,60,60,49
0,60,60,49
0,60,60,49
0,60,60,49
0,60,60,49
0,60,60,49
0,60,60,49
0,60,60,49
0,60,60,49
0,60,60,49
0,60,60,49
0,60,60,49
0,60,60,49
0,60,60,49
0,60,60,49
0,60,60,49
0,60,60,49
0,60,60,49
0,60,60,49
0,60,60,49
0,60,60,49
0,60,60,49
0,60,60,49
0,60,60,49
0,60,60,49
0,60,60,49
0,60,60,49
0,60,60,49
0,60,60,49
0,60,60,49
0,60,60,49
0,60,60,49
0,60,60,49
0,60,60,49
0,60,60,49
0,60,60,49
0,60,60,49
0,60,60,50
0,60,60,50
0,60,60,50
0,60,60,50
0,60,60,50
0,60,60,50
0,60,60,50
0,60,60,50
0,60,60,50
0,60,60,50
0,60,60,50
0,60,60,50
0,60,60,50
0,60,60,50
0,60,60,50
0,60,60,50
0,60,60,50
0,60,60,50
0,60,60,50
0,60,60,50
0,60,60,50
0,60,60,50
0,60,60,50
0,60,60,50
0,60,60,50
0,60,60,50
0,60,60,50
0,60,60,50
0,60,60,50
0,60,60,50
0,60,60,50
0,60,60,50
0,60,60,50
0,60,60,50
0,60,60,50
0,60,60,50
0,60,60,50
0,60,60,50
0,60,60,50
0,60,60,50
0,60,60,50
0,60,60,50
0,60,60,51
0,60,60,51
0,60,60,51
0,60,60,51
0,60,60,51
0,60,60,51
0,60,60,51
0,60,60,51
0,60,60,51
0,60,60,51
0,60,60,51
0,60,60,51
0,60,60,51
0,60,60,51
0,60,60,51
0,60,60,51
0,60,60,51
0,60,60,51
0,60,60,51
0,60,60,51
0,60,60,51
0,60,60,51
0,60,60,51
0,60,60,51
0,60,60,51
0,60,60,51
0,60,60,51
0,60,60,51
0,60,60,51
0,60,60,51
0,60,60,51
0,60,60,51
0,60,60,51
0,60,60,51
0,60,60,51
0,60,60,51
0,60,60,51
0,60,60,51
0,60,60,51
0,60,60,51
0,60,60,51
0,60,60,52
0,60,60,52
0,60,60,52
0,60,60,52
0,60,60,52
0,60,60,52
0,60,60,52
0,60,60,52
0,60,60,52
0,60,60,52
0,60,60,52
0,60,60,52
0,60,60,52
0,60,60,52
0,60,60,52
0,60,60,52
0,60,60,52
0,60,60,52
0,60,60,52
0,60,60,52
0,60,60,52
0,60,60,52
0,60,60,52
0,60,60,52
0,60,60,52
0,60,60,52
0,60,60,52
0,60,60,52
0,60,60,52
0,60,60,52
0,60,60,52
0,60,60,52
0,60,60,52
0,60,60,52
0,60,60,52
0,60,60,52
0,60,60,52
0,60,60,52
0,60,60,52
0,60,60,52
0,60,60,52
0,60,60,52
0,60,60,53
0,60,60,53
0,60,60,53
0,60,60,53
0,60,60,53
0,60,60,53
0,60,60,53
0,60,60,53
0,60,60,53
0,60,60,53
0,60,60,53
0,60,60,53
0,60,60,53
0,60,60,53
0,60,60,53
0,60,60,53
0,60,60,53
0,60,60,53
0,60,60,53
0,60,60,53
0,60,60,53
0,60,60,53
0,60,60,53
0,60,60,53
0,60,60,53
0,60,60,53
0,60,60,53
0,60,60,53
0,60,60,53
0,60,60,53
0,60,60,53
0,60,60,53
0,60,60,53
0,60,60,53
0,60,60,53
0,60,60,53
0,60,60,53
0,60,60,53
0,60,60,53
0,60,60,53
0,60,60,53
0,60,60,54
0,60,60,54
0,60,60,54
0,60,60,54
0,60,60,54
0,60,60,54
0,60,60,54
0,60,60,54
0,60,60,54
0,60,60,54
0,60,60,54
0,60,60,54
0,60,60,54
0,60,60,54
0,60,60,54
0,60,60,54
0,60,60,54
0,60,60,54
0,60,60,54
0,60,60,54
0,60,60,54
0,60,60,54
0,60,60,54
0,60,60,54
0,60,60,54
0,60,60,54
0,60,60,54
0,60,60,54
0,60,60,54
0,60,60,54
0,60,60,54
0,60,60,54
0,60,60,54
0,60,60,54
0,60,60,54
0,60,60,54
0,60,60,54
0,60,60,54
0,60,60,54
0,60,60,54
0,60,60,54
0,60,60,54
0,60,60,55
0,60,60,55
0,60,60,55
0,60,60,55
0,60,60,55
0,60,60,55
0,60,60,55
0,60,60,55
0,60,60,55
0,60,60,55
0,60,60,55
0,60,60,55
0,60,60,55
0,60,60,55
0,60,60,55
0,60,60,55
0,60,60,55
0,60,60,55
0,60,60,55
0,60,60,55
0,60,60,55
0,60,60,55
0,60,60,55
0,60,60,55
0,60,60,55
0,60,60,55
0,60,60,55
0,60,60,55
0,60,60,55
0,60,60,55
0,60,60,55
0,60,60,55
0,60,60,55
0,60,60,55
0,60,60,55
0,60,60,55
0,60,60,55
0,60,60,55
0,60,60,55
0,60,60,55
0,60,60,55
0,60,60,55
0,60,60,56
0,60,60,56
0,60,60,56
0,60,60,56
0,60,60,56
0,60,60,56
0,60,60,56
0,60,60,56
0,60,60,56
0,60,60,56
0,60,60,56
0,60,60,56
0,60,60,56
0,60,60,56
0,60,60,56
0,60,60,56
0,60,60,56
0,60,60,56
0,60,60,56
0,60,60,56
0,60,60,56
0,60,60,56
0,60,60,56
0,60,60,56
0,60,60,56
0,60,60,56
0,60,60,56
0,60,60,56
0,60,60,56
0,60,60,56
0,60,60,56
0,60,60,56
0,60,60,56
0,60,60,56
0,60,60,56
0,60,60,56
0,60,60,56
0,60,60,56
0,60,60,56
0,60,60,56
0,60,60,56
0,60,60,57
0,60,60,57
0,60,60,57
0,60,60,57
0,60,60,57
0,60,60,57
0,60,60,57
0,60,60,57
0,60,60,57
0,60,60,57
0,60,60,57
0,60,60,57
0,60,60,57
0,60,60,57
0,60,60,57
0,60,60,57
0,60,60,57
0,60,60,57
0,60,60,57
0,60,60,57
0,60,60,57
