Current Angle,Target Angle,Error,PID New Value
0,60,60,288
0,60,60,108
0,60,60,108
0,60,60,108
0,60,60,108
0,60,60,108
0,60,60,108
0,60,60,108
0,60,60,108
0,60,60,108
0,60,60,108
0,60,60,108
0,60,60,108
0,60,60,108
0,60,60,108
0,60,60,108
0,60,60,108
0,60,60,108
0,60,60,108
0,60,60,108
0,60,60,108
0,60,60,108
0,60,60,108
0,60,60,108
0,60,60,108
0,60,60,108
0,60,60,108
0,60,60,108
0,60,60,108
0,60,60,108
0,60,60,108
0,60,60,108
0,60,60,108
0,60,60,108
0,60,60,108
0,60,60,108
0,60,60,108
0,60,60,108
0,60,60,108
0,60,60,108
0,60,60,108
0,60,60,109
0,60,60,109
0,60,60,109
0,60,60,109
0,60,60,109
0,60,60,109
0,60,60,109
0,60,60,109
0,60,60,109
0,60,60,109
0,60,60,109
0,60,60,109
0,60,60,109
0,60,60,109
0,60,60,109
0,60,60,109
0,60,60,109
0,60,60,109
0,60,60,109
0,60,60,109
0,60,60,109
0,60,60,109
0,60,60,109
0,60,60,109
0,60,60,109
0,60,60,109
0,60,60,109
0,60,60,109
0,60,60,109
0,60,60,109
0,60,60,109
0,60,60,109
0,60,60,109
0,60,60,109
0,60,60,109
0,60,60,109
0,60,60,109
0,60,60,109
0,60,60,109
0,60,60,109
0,60,60,109
0,60,60,109
0,60,60,110
0,60,60,110
0,60,60,110
0,60,60,110
0,60,60,110
0,60,60,110
0,60,60,110
0,60,60,110
0,60,60,110
0,60,60,110
0,60,60,110
0,60,60,110
0,60,60,110
0,60,60,110
0,60,60,110
0,60,60,110
0,60,60,110
0,60,60,110
0,60,60,110
0,60,60,110
0,60,60,110
0,60,60,110
0,60,60,110
0,60,60,110
0,60,60,110
0,60,60,110
0,60,60,110
0,60,60,110
0,60,60,110
0,60,60,110
0,60,60,110
0,60,60,110
0,60,60,110
0,60,60,110
0,60,60,110
0,60,60,110
0,60,60,110
0,60,60,110
0,60,60,110
0,60,60,110
0,60,60,110
0,60,60,111
0,60,60,111
0,60,60,111
0,60,60,111
0,60,60,111
0,60,60,111
0,60,60,111
0,60,60,111
0,60,60,111
0,60,60,111
0,60,60,111
0,60,60,111
0,60,60,111
0,60,60,111
0,60,60,111
0,60,60,111
0,60,60,111
0,60,60,111
0,60,60,111
0,60,60,111
0,60,60,111
0,60,60,111
0,60,60,111
0,60,60,111
0,60,60,111
0,60,60,111
0,60,60,111
0,60,60,111
0,60,60,111
0,60,60,111
0,60,60,111
0,60,60,111
0,60,60,111
0,60,60,111
0,60,60,111
0,60,60,111
0,60,60,111
0,60,60,111
0,60,60,111
0,60,60,111
0,60,60,111
0,60,60,111
0,60,60,112
0,60,60,112
0,60,60,112
0,60,60,112
0,60,60,112
0,60,60,112
0,60,60,112
0,60,60,112
0,60,60,112
0,60,60,112
0,60,60,112
0,60,60,112
0,60,60,112
0,60,60,112
0,60,60,112
0,60,60,112
0,60,60,112
0,60,60,112
0,60,60,112
0,60,60,112
0,60,60,112
0,60,60,112
0,60,60,112
0,60,60,112
0,60,60,112
0,60,60,112
0,60,60,112
0,60,60,112
0,60,60,112
0,60,60,112
0,60,60,112
0,60,60,112
0,60,60,112
0,60,60,112
0,60,60,112
0,60,60,112
0,60,60,112
0,60,60,112
0,60,60,112
0,60,60,112
0,60,60,112
0,60,60,112
0,60,60,113
0,60,60,113
0,60,60,113
0,60,60,113
0,60,60,113
0,60,60,113
0,60,60,113
0,60,60,113
0,60,60,113
0,60,60,113
0,60,60,113
0,60,60,113
0,60,60,113
0,60,60,113
0,60,60,113
0,60,60,113
0,60,60,113
0,60,60,113
0,60,60,113
0,60,60,113
0,60,60,113
0,60,60,113
0,60,60,113
0,60,60,113
0,60,60,113
0,60,60,113
0,60,60,113
0,60,60,113
0,60,60,113
0,60,60,113
0,60,60,113
0,60,60,113
0,60,60,113
0,60,60,113
0,60,60,113
0,60,60,113
0,60,60,113
0,60,60,113
0,60,60,113
0,60,60,113
0,60,60,113
0,60,60,114
0,60,60,114
0,60,60,114
0,60,60,114
0,60,60,114
0,60,60,114
0,60,60,114
0,60,60,114
0,60,60,114
0,60,60,114
0,60,60,114
0,60,60,114
0,60,60,114
0,60,60,114
0,60,60,114
0,60,60,114
0,60,60,114
0,60,60,114
0,60,60,114
0,60,60,114
0,60,60,114
0,60,60,114
0,60,60,114
0,60,60,114
0,60,60,114
0,60,60,114
0,60,60,114
0,60,60,114
0,60,60,114
0,60,60,114
0,60,60,114
0,60,60,114
0,60,60,114
0,60,60,114
0,60,60,114
0,60,60,114
0,60,60,114
0,60,60,114
0,60,60,114
0,60,60,114
0,60,60,114
0,60,60,114
0,60,60,115
0,60,60,115
0,60,60,115
0,60,60,115
0,60,60,115
0,60,60,115
0,60,60,115
0,60,60,115
0,60,60,115
0,60,60,115
0,60,60,115
0,60,60,115
0,60,60,115
0,60,60,115
0,60,60,115
0,60,60,115
0,60,60,115
0,60,60,115
0,60,60,115
0,60,60,115
0,60,60,115
0,60,60,115
0,60,60,115
0,60,60,115
0,60,60,115
0,60,60,115
0,60,60,115
0,60,60,115
0,60,60,115
0,60,60,115
0,60,60,115
0,60,60,115
0,60,60,115
0,60,60,115
0,60,60,115
0,60,60,115
0,60,60,115
0,60,60,115
0,60,60,115
0,60,60,115
0,60,60,115
0,60,60,115
0,60,60,116
0,60,60,116
0,60,60,116
0,60,60,116
0,60,60,116
0,60,60,116
0,60,60,116
0,60,60,116
0,60,60,116
0,60,60,116
0,60,60,116
0,60,60,116
0,60,60,116
0,60,60,116
0,60,60,116
0,60,60,116
0,60,60,116
0,60,60,116
0,60,60,116
0,60,60,116
0,60,60,116
0,60,60,116
0,60,60,116
0,60,60,116
0,60,60,116
0,60,60,116
0,60,60,116
0,60,60,116
0,60,60,116
0,60,60,116
0,60,60,116
0,60,60,116
0,60,60,116
0,60,60,116
0,60,60,116
0,60,60,116
0,60,60,116
0,60,60,116
0,60,60,116
0,60,60,116
0,60,60,116
0,60,60,117
0,60,60,117
0,60,60,117
0,60,60,117
0,60,60,117
0,60,60,117
0,60,60,117
0,60,60,117
0,60,60,117
0,60,60,117
0,60,60,117
0,60,60,117
0,60,60,117
0,60,60,117
0,60,60,117
0,60,60,117
0,60,60,117
0,60,60,117
0,60,60,117
0,60,60,117
0,60,60,117
0,60,60,117
0,60,60,117
0,60,60,117
0,60,60,117
0,60,60,117
0,60,60,117
0,60,60,117
0,60,60,117
0,60,60,117
0,60,60,117
0,60,60,117
0,60,60,117
0,60,60,117
0,60,60,117
0,60,60,117
0,60,60,117
0,60,60,117
0,60,60,117
0,60,60,117
0,60,60,117
0,60,60,117
0,60,60,118
0,60,60,118
0,60,60,118
0,60,60,118
0,60,60,118
0,60,60,118
0,60,60,118
0,60,60,118
0,60,60,118
0,60,60,118
0,60,60,118
0,60,60,118
0,60,60,118
0,60,60,118
0,60,60,118
0,60,60,118
0,60,60,118
0,60,60,118
0,60,60,118
0,60,60,118
0,60,60,118
0,60,60,118
0,60,60,118
0,60,60,118
0,60,60,118
0,60,60,118
0,60,60,118
0,60,60,118
0,60,60,118
0,60,60,118
0,60,60,118
0,60,60,118
0,60,60,118
0,60,60,118
0,60,60,118
0,60,60,118
0,60,60,118
0,60,60,118
0,60,60,118
0,60,60,118
0,60,60,118
0,60,60,118
0,60,60,119
0,60,60,119
0,60,60,119
0,60,60,119
0,60,60,119
0,60,60,119
0,60,60,119
0,60,60,119
0,60,60,119
0,60,60,119
0,60,60,119
0,60,60,119
0,60,60,119
0,60,60,119
0,60,60,119
0,60,60,119
0,60,60,119
0,60,60,119
0,60,60,119
0,60,60,119
0,60,60,119
0,60,60,119
0,60,60,119
0,60,60,119
0,60,60,119
0,60,60,119
0,60,60,119
0,60,60,119
0,60,60,119
0,60,60,119
0,60,60,119
0,60,60,119
0,60,60,119
0,60,60,119
0,60,60,119
0,60,60,119
0,60,60,119
0,60,60,119
0,60,60,119
0,60,60,119
0,60,60,119
0,60,60,120
0,60,60,120
0,60,60,120
0,60,60,120
0,60,60,120
0,60,60,120
0,60,60,120
0,60,60,120
0,60,60,120
0,60,60,120
0,60,60,120
0,60,60,120
0,60,60,120
0,60,60,120
0,60,60,120
0,60,60,120
0,60,60,120
0,60,60,120
0,60,60,120
0,60,60,120
0,60,60,120
0,60,60,120
0,60,60,120
0,60,60,120
0,60,60,120
0,60,60,120
0,60,60,120
0,60,60,120
0,60,60,120
0,60,60,120
0,60,60,120
0,60,60,120
0,60,60,120
0,60,60,120
0,60,60,120
0,60,60,120
0,60,60,120
0,60,60,120
0,60,60,120
0,60,60,120
0,60,60,120
0,60,60,120
0,60,60,121
0,60,60,121
0,60,60,121
0,60,60,121
0,60,60,121
0,60,60,121
0,60,60,121
0,60,60,121
0,60,60,121
0,60,60,121
0,60,60,121
0,60,60,121
0,60,60,121
0,60,60,121
0,60,60,121
0,60,60,121
0,60,60,121
0,60,60,121
0,60,60,121
0,60,60,121
0,60,60,121
0,60,60,121
0,60,60,121
0,60,60,121
0,60,60,121
0,60,60,121
0,60,60,121
0,60,60,121
0,60,60,121
0,60,60,121
0,60,60,121
0,60,60,121
0,60,60,121
0,60,60,121
0,60,60,121
0,60,60,121
0,60,60,121
0,60,60,121
0,60,60,121
0,60,60,121
0,60,60,121
0,60,60,121
0,60,60,122
0,60,60,122
0,60,60,122
0,60,60,122
0,60,60,122
0,60,60,122
0,60,60,122
0,60,60,122
0,60,60,122
0,60,60,122
0,60,60,122
0,60,60,122
0,60,60,122
0,60,60,122
0,60,60,122
0,60,60,122
0,60,60,122
0,60,60,122
0,60,60,122
0,60,60,122
0,60,60,122
0,60,60,122
0,60,60,122
0,60,60,122
0,60,60,122
0,60,60,122
0,60,60,122
0,60,60,122
0,60,60,122
0,60,60,122
0,60,60,122
0,60,60,122
0,60,60,122
0,60,60,122
0,60,60,122
0,60,60,122
0,60,60,122
0,60,60,122
0,60,60,122
0,60,60,122
0,60,60,122
0,60,60,123
0,60,60,123
0,60,60,123
0,60,60,123
0,60,60,123
0,60,60,123
0,60,60,123
0,60,60,123
0,60,60,123
0,60,60,123
0,60,60,123
0,60,60,123
0,60,60,123
0,60,60,123
0,60,60,123
0,60,60,123
0,60,60,123
0,60,60,123
0,60,60,123
0,60,60,123
0,60,60,123
0,60,60,123
0,60,60,123
0,60,60,123
0,60,60,123
0,60,60,123
0,60,60,123
0,60,60,123
0,60,60,123
0,60,60,123
0,60,60,123
0,60,60,123
0,60,60,123
0,60,60,123
0,60,60,123
0,60,60,123
0,60,60,123
0,60,60,123
0,60,60,123
0,60,60,123
0,60,60,123
0,60,60,123
0,60,60,124
0,60,60,124
0,60,60,124
0,60,60,124
0,60,60,124
0,60,60,124
0,60,60,124
0,60,60,124
0,60,60,124
0,60,60,124
0,60,60,124
0,60,60,124
0,60,60,124
0,60,60,124
